gap_threshold,min_gap_width,safety_bubble,max_linear_speed,min_linear_speed,max_angular_speed,speed_lookahead,speed_floor,goal_blend,k_angular,rotate_threshold,barn_score,success_rate,collision_rate,timeout_rate,avg_collisions,avg_time_steps,avg_time_sec,avg_final_dist,path_efficiency,avg_ot_sec,n_envs
1.0302197814212142,5,0.34221157662055673,0.5814520136950043,0.15,1.2,1.5,0.2,0.7387586315469665,2.008126099276307,0.7,0.19430021826973914,0.6,0.4,0.0,0.4,181.0,18.1,1.950634093970237,0.3238336971162319,5.765066221880585,5
1.4754564222757196,10,0.4364421896747174,0.8697862389486156,0.15,1.2,1.5,0.2,0.7219180473209409,2.216286211531923,0.7,0.2787945603886105,0.6,0.4,0.0,0.4,119.33333333333333,11.933333333333334,2.1765072625068664,0.46465760064768413,5.765066221880585,5
1.767780690167774,12,0.469142877737031,0.6846570928325151,0.15,1.2,1.5,0.2,0.7390641607833124,1.8683858039190253,0.7,0.2202557527887888,0.6,0.4,0.0,0.4,151.0,15.100000000000001,1.9632730092741082,0.36709292131464805,5.765066221880585,5
1.0251052774460985,10,0.3485015820699537,0.9338362825156233,0.15,1.2,1.5,0.2,0.6458868148338958,2.7855819019516224,0.7,0.3947615689300648,0.8,0.2,0.0,0.2,111.25,11.125,1.1218894264193522,0.5147268555809553,5.765066221880585,5
1.1325007804594271,8,0.28924616011803095,0.9300282451414759,0.15,1.2,1.5,0.2,0.6848716414923618,3.2641046843019446,0.7,0.395609929916394,0.8,0.2,0.0,0.2,111.0,11.100000000000001,1.1396199607110808,0.5157873068138668,5.765066221880585,5
1.6913896443206904,12,0.29809739406990615,0.7890078689242521,0.15,1.2,1.5,0.2,0.6968650106428006,3.3243599686279692,0.7,0.3496272991858243,0.8,0.2,0.0,0.2,131.0,13.100000000000001,1.1164197194264252,0.43703412398228036,5.765066221880585,5
1.700595459343853,5,0.31741353940870365,0.7282475475098029,0.15,1.2,1.5,0.2,0.741338255532673,2.7761600111834066,0.7,0.24483447421259147,0.6,0.4,0.0,0.4,143.66666666666666,14.366666666666667,2.357076149663501,0.4080574570209858,5.765066221880585,5
1.71567621915191,5,0.34945747246609205,0.6363640806633996,0.15,1.2,1.5,0.2,0.7914236033197517,3.175522521436065,0.7,0.2815003764996805,0.8,0.2,0.0,0.2,163.75,16.375,1.1972536498066113,0.3518754706246006,5.765066221880585,5
1.2802487508011333,5,0.25421117889105616,0.9329509585473269,0.15,1.2,1.5,0.2,0.8024506217243685,3.207634928314296,0.7,0.395609929916394,0.8,0.2,0.0,0.2,111.0,11.100000000000001,1.1185840613318163,0.5157873068138668,5.765066221880585,5
1.5077346497144002,5,0.3377123914954437,0.7277591532079702,0.15,1.2,1.5,0.2,0.6168181584840599,2.0833342947462663,0.7,0.39871842879743447,1.0,0.0,0.0,0.0,144.6,14.46,0.06218933018961385,0.39871842879743447,5.765066221880585,5
