max_speed,min_speed,max_yaw_rate,max_accel,max_delta_yaw_rate,v_resolution,yaw_rate_resolution,dt,predict_time,to_goal_cost_gain,speed_cost_gain,obstacle_cost_gain,robot_radius,obstacle_clearance,stuck_vel_threshold,stuck_time_limit,barn_score,success_rate,avg_time,avg_collisions,n_envs,timestamp
0.4572995702204007,-0.1,1.2,0.44600039141304515,1.5,0.02,0.05,0.1,3.993236379499849,0.3429330535751879,0.5331952229508524,1.6265001342484535,0.25,0.05,0.05,3.0,0.45960177610870645,1.0,128.8,0.2,5,1775920085.6542568
0.7643773307470749,-0.1,1.2,0.4576012253645862,1.5,0.02,0.05,0.1,2.3097113571752548,0.30135128749700996,1.1004351733116546,2.428322639891305,0.25,0.05,0.05,3.0,0.45960177610870645,1.0,128.8,0.2,5,1775920182.8555853
0.5271312041653133,-0.1,1.2,0.44153639371413617,1.5,0.02,0.05,0.1,2.237815332396612,0.3083111348836707,1.532373403729525,2.492273602678739,0.25,0.05,0.05,3.0,0.45960177610870645,1.0,128.8,0.2,5,1775920279.6843204
0.3418503192173367,-0.1,1.2,0.5313929874582133,1.5,0.02,0.05,0.1,3.476831376594448,0.4112164781044019,0.7358004434059296,0.9356143766753479,0.25,0.05,0.05,3.0,0.45960177610870645,1.0,128.8,0.2,5,1775920377.7345676
0.745134600743595,-0.1,1.2,0.8306687860669211,1.5,0.02,0.05,0.1,2.8272795891945557,0.422352692557045,1.8036394610799862,2.610595336675388,0.25,0.05,0.05,3.0,0.45960177610870645,1.0,128.8,0.2,5,1775920473.7502518
0.4340945271537905,-0.1,1.2,0.7078822178315713,1.5,0.02,0.05,0.1,3.9247425821108335,0.11658725111534746,0.9666764162538296,2.9974114847260402,0.25,0.05,0.05,3.0,0.45960177610870645,1.0,128.8,0.2,5,1775920571.4826145
0.59277043945551,-0.1,1.2,0.5718789362319028,1.5,0.02,0.05,0.1,2.813188780437849,0.35023350164418265,1.3735071534541983,2.0564034641896836,0.25,0.05,0.05,3.0,0.45960177610870645,1.0,128.8,0.2,5,1775920668.0810153
0.6723226104189801,-0.1,1.2,0.8031771596803752,1.5,0.02,0.05,0.1,2.538938211061012,0.3178665979743619,1.30726799039166,2.9232509557429234,0.25,0.05,0.05,3.0,0.45960177610870645,1.0,128.8,0.2,5,1775920766.3643878
0.3796324102127776,-0.1,1.2,0.8701818820307392,1.5,0.02,0.05,0.1,3.4977061571108647,0.32967106796957213,1.4255571651964147,1.9431964064063874,0.25,0.05,0.05,3.0,0.45960177610870645,1.0,128.8,0.2,5,1775920865.0798674
0.661021731926718,-0.1,1.2,0.8453503117309713,1.5,0.02,0.05,0.1,3.4432437043730117,0.48766328769269107,1.0164537895255803,1.1370681097718687,0.25,0.05,0.05,3.0,0.45960177610870645,1.0,128.8,0.2,5,1775920964.9808736
